,LocationName,COPD,Cholesterol Screening,Chronic Kidney Disease,Coronary Heart Disease,Diabetes,High Blood Pressure,High Cholesterol,Obesity,Physical Health,Physical Inactivity,Stroke,Taking BP Medication,TotalPopulation,ParkCount,County,people_park_count_ratio
0,Carrollton,5.4,84.3,2.6,5.0,10.5,30.3,30.9,30.4,10.9,27.0,2.8,57.1,119213.0,11,Harris,10837.545454545454
1,Corinth,5.3,85.0,2.3,4.7,8.6,29.9,31.1,31.5,9.9,22.7,2.6,55.0,19878.0,9,Harris,2208.6666666666665
2,Denton,6.1,83.8,2.7,5.3,10.3,32.6,31.7,34.8,11.7,26.8,3.0,57.6,116038.0,18,Harris,6446.555555555556
3,Flower Mound,4.1,86.5,2.0,4.1,7.5,27.7,30.5,28.3,8.1,19.0,2.2,54.4,64669.0,58,Harris,1114.9827586206898
4,Frisco,4.2,86.9,2.2,4.2,8.0,28.1,31.2,29.1,8.5,19.7,2.3,55.6,117104.0,12,Harris,9758.666666666666
5,Grapevine,5.2,84.9,2.4,4.6,8.4,28.1,32.7,33.1,10.0,22.3,2.6,55.5,46334.0,1,Harris,46334.0
6,Hickory Creek,6.2,83.6,2.5,5.4,9.4,31.5,31.8,33.0,11.2,25.1,2.9,55.7,3400.0,1,Harris,3400.0
7,Highland Village,4.2,86.4,2.0,4.1,7.2,27.6,30.5,28.8,8.1,18.5,2.2,54.0,15082.0,16,Harris,942.625
8,Justin,5.4,84.6,2.3,4.6,8.3,29.6,31.2,31.5,10.0,22.6,2.6,54.7,3246.0,1,Harris,3246.0
9,Krugerville,6.0,83.8,2.4,5.1,8.8,30.5,31.6,32.4,10.7,24.3,2.7,54.8,1631.0,1,Harris,1631.0
10,Krum,6.5,83.3,2.5,5.4,9.5,31.6,31.8,33.4,11.6,26.2,2.9,55.8,4143.0,2,Harris,2071.5
11,Lake Dallas,5.9,84.2,2.5,5.1,9.5,31.3,31.5,33.3,10.9,25.0,2.8,55.9,7105.0,4,Harris,1776.25
12,Lewisville,6.0,84.2,2.7,5.3,10.8,32.4,31.6,33.9,11.5,27.5,3.1,57.1,95356.0,28,Harris,3405.5714285714284
13,Little Elm,5.0,85.7,2.4,4.6,9.6,30.8,30.9,32.9,9.9,23.9,2.7,56.2,26034.0,5,Harris,5206.8
14,Oak Point,5.5,84.4,2.3,4.9,8.5,29.8,31.3,31.8,10.1,23.3,2.6,54.6,2786.0,1,Harris,2786.0
15,Paloma Creek,4.8,85.8,2.4,4.6,9.3,30.8,30.8,32.7,9.6,22.6,2.7,56.1,2501.0,1,Harris,2501.0
16,Pilot Point,5.7,84.4,2.5,5.0,9.4,30.7,31.4,33.4,10.7,25.1,2.8,55.1,3856.0,2,Harris,1928.0
17,Plano,4.6,86.4,2.3,4.5,8.6,28.7,31.9,29.1,9.2,21.8,2.5,56.7,259841.0,3,Harris,86613.66666666667
18,Ponder,5.3,84.8,2.2,4.7,8.3,29.5,31.1,31.4,9.7,22.2,2.5,54.5,1395.0,1,Harris,1395.0
19,Roanoke,4.7,85.7,2.2,4.4,8.0,28.6,30.8,30.4,9.0,20.9,2.4,54.5,5962.0,6,Harris,993.6666666666666
20,Sanger,6.6,83.2,2.6,5.3,9.7,31.8,31.8,34.1,11.8,27.1,3.0,55.7,6992.0,2,Harris,3496.0
21,Savannah,5.0,85.7,2.3,4.4,8.7,30.0,30.8,31.9,9.6,22.3,2.6,55.7,3318.0,1,Harris,3318.0
